audio_id,domain
YOU0000000033,"['Social media', 'Photography', 'Humor', 'Technology', 'Food', 'Marketing', 'Entertainment', 'Fashion', 'Pop culture', 'Art']"
YOU0000000411,"['Parenting', 'Personal anecdotes', 'Humor', 'Work ethic', 'Travel', 'Trivia', 'Food and drink', 'Video editing', 'Television', 'Entertainment']"
YOU0000000187,"['Video Games', 'Comedy', 'Action', 'Animation', 'Parody', 'Satire', 'Gaming Commentary', 'Pop Culture', 'Surreal Humor', 'Meme Culture']"
YOU0000000017,"['Comedy', 'Personal Anecdotes', 'Embarrassing Moments', 'Physical Discomfort', 'Hygiene', 'Gross-out Humor', 'Self-Deprecation', 'Bodily Functions', 'Awkward Situations', 'Observational Humor']"
YOU0000000251,"['Comedy', 'Entertainment', 'Experimental', 'Short Film', 'Surreal', 'Absurd', 'Adventure', 'Action', 'Thriller', 'Horror']"
YOU0000000609,"['Emotional reaction', 'Entertainment', 'Nostalgia', 'Comedy', 'Drama', 'Family', 'Sci-fi', 'Mystery', 'Suspense', 'Romance']"
YOU0000000219,"['Product review', 'Vaping', 'Consumer goods', 'E-commerce', 'Technology', 'Fashion', 'Retail', 'Lifestyle', 'Entertainment', 'Personal opinion']"
YOU0000000235,"['Product Review', 'Reading Tracker', 'Time Management', 'Personal Development', 'Technology', 'Data Analysis', 'Mobile Applications', 'Book Tracking', 'Self-Improvement', 'Productivity']"
YOU0000001651,"['Motorsports', 'Sports commentary', 'Race analysis', 'Interviews', 'Advertising', 'News updates', 'Strategy discussion', 'Driver profiles', 'Technical analysis', 'Emotional reactions']"
AUD0000000613,"['Holiday traditions and customs', 'English rural life and customs', 'Festivals and celebrations', 'Music and its effects on emotions', 'Hospitality and social gatherings', 'Superstitions and ghost stories', 'Humour and comedy', 'Family dynamics and relationships', 'Nostalgia and reminiscence', 'Nature and the changing seasons']"
POD0000001328,"['Islamic theology and spirituality', 'Persian literature and poetry', 'Sufism and mysticism', 'Religious philosophy and ethics', 'Cultural and historical context', 'Interfaith dialogue and understanding', 'Music and dance', 'Love and relationships', 'Personal growth and self-improvement', 'Contemporary art and creativity']"
AUD0000001383,"['Domestic drama', 'Romance', 'War story', 'Slice of life', 'Comedy', 'Social commentary', 'Historical fiction', 'Tragedy', 'Mystery', 'Coming of age']"
YOU0000002031,"['Mixology', 'Cocktail history', 'Bartending techniques', 'Recipe books', 'Alcohol culture', 'Memoirs', 'Food and drink pairing', 'Prohibition era', 'Coffee table books', 'Search engine optimization']"
POD0000003568,"['Media criticism', 'Politics', 'Entertainment', 'Journalism', 'Social issues', 'Streaming services', 'Romantic comedy', 'Film industry', 'Pop culture', 'Photography']"
YOU0000005388,"['Native American culture and traditions', 'Mental health and suicide prevention', 'Community building and leadership', 'Historical trauma and intergenerational trauma', 'Personal growth and self-discovery', 'Environmentalism and sustainability', 'Social justice and activism', 'Family and relationships', 'Education and youth empowerment', 'Spirituality and prayer']"
AUD0000001784,"['Travelogue', 'Memoir', 'Humor', 'Adventure', 'History', 'Philosophy', 'Politics', 'Journalism', 'Literary Criticism', 'Medical']"
POD0000001416,"['Romance', 'Medical Ethics', 'Cross-Cultural Relationships', 'Personal Growth', 'Recovery', 'Friendship', 'Travel', 'Family', 'Self-Discovery', 'Journalism']"
POD0000000576,"['Spirituality', 'Community organizing', 'Grief and loss', 'Race and identity', 'Political discourse', 'Social justice', 'Religion', 'Collective care', 'Accompaniment', 'Brave space']"
YOU0000000851,"['Political history', 'Election campaign', 'Economic depression', 'Monetary policy', 'Populism', 'Party politics', 'Campaign finance', 'Regionalism', 'Labor unions', 'Rhetoric']"
POD0000003196,"['News', 'Health', 'Culture', 'Politics', 'Psychology', 'History', 'Sociology', 'Global Issues', 'Education', 'Current Events']"
AUD0000000512,"['Bar scene description', 'Character introduction', 'Family drama', 'Romance', 'Working-class life', 'Nautical adventure', 'Survival story', 'Alcohol consumption', 'Immigrant experience', 'Gender roles']"
AUD0000000931,"['Memoir', 'Immigration', 'Travelogue', 'Coming of Age', 'Literary Criticism', 'Historical', 'Personal Essay', 'Nature Writing', 'Social Commentary', 'Family History']"
POD0000001463,"['Economic downturn', 'Job loss', 'Oil and gas industry', 'Budget cuts', 'Unemployment', 'Career change', 'Financial hardship', 'Labor market', 'Employment trends', 'Geographic mobility']"
AUD0000000847,"['Autobiography', 'Humor', 'Literature', 'Domestic Service', 'Mystery', 'Romance', 'Satire', 'Social Commentary', 'Surrealism', 'Tragedy']"
AUD0000001137,"['Self-help', 'Philosophy', 'Individualism', 'Friendship', 'Nature', 'Love', 'Society', 'Morality', 'Spirituality', 'Literature']"
AUD0000000378,"['Christmas', ""Children's literature"", 'Comedy', 'Fantasy', 'Social commentary', 'Satire', 'Mystery', 'Adventure', 'Drama', 'Romance']"
YOU0000004493,"['Historical', 'Military', 'Strategy', 'Fiction', 'Worldbuilding', 'Gaming', 'Education', 'Entertainment', 'Travel', 'Marketing']"
YOU0000005458,"['Education', 'Public Health', 'Parenting', 'Government', 'Community', 'Mental Health', 'Safety', 'Logistics', 'Technology', 'Emotional Support']"
POD0000005633,"['Personal Confessions', 'Sexual Fetishes', 'Mental Health', 'Childhood Trauma', 'Family Dynamics', 'LGBTQ+ Experiences', 'Relationship Issues', 'Body Image', 'Comedy', 'Social Justice']"
AUD0000000116,"['Science Fiction', 'Dystopian', 'Post-Apocalyptic', 'War', 'Action', 'Adventure', 'Suspense', 'Thriller', 'Political', 'Romance']"
YOU0000005780,"['Religious speech', 'Theology', 'Christianity', 'End times prophecy', 'Salvation', 'Persecution', 'Spiritual warfare', 'Biblical interpretation', 'Faith', 'Cults']"
POD0000005684,"['Mental Health', 'Personal Stories', 'Self-Improvement', 'Relationships', 'Humor', 'Trauma', 'Therapy', 'Addiction', 'Parenting', 'Survival']"
POD0000004597,"['Political campaigning', 'Gun control advocacy', 'Trade policy', 'Healthcare policy', 'Racial justice advocacy', 'Education policy', 'Wealth inequality', 'Faith and morality', 'Media and image', 'Interview and conversation']"
YOU0000005224,"['Municipal Governance', 'Public Hearings', 'Urban Planning', 'Infrastructure', 'Community Development', 'Environmental Health', 'Public Safety', 'Transportation', 'Building Codes', 'Healthcare']"
AUD0000000086,"['Medical drama', 'Comedy of manners', 'Romantic drama', 'Tragedy', 'Satire', 'Social commentary', 'Psychological drama', 'Mystery', 'Historical fiction', 'Philosophical discourse']"
POD0000006044,"['Technology', 'Software Development', 'Business', 'Cloud Computing', 'Open Source', 'Data Analytics', 'Localization and Translation', 'Finance', 'Management', 'DevOps']"
YOU0000005304,"['Education Policy', 'K-12 Education', 'Standardized Testing', 'Curriculum Development', 'Teacher Training', 'Education Inequality', 'Education Funding', 'Assessment and Evaluation', 'Online Learning', 'Social and Emotional Learning']"
POD0000001336,"['Holocaust literature', 'Religious memoir', 'Human rights advocacy', 'Jewish history', 'Philosophy of religion', 'Peace activism', 'Hasidic storytelling', 'Theology of suffering', 'Prayer and spirituality', 'Political commentary']"
YOU0000002495,"['Relationship advice', 'Self-help', 'Social media management', 'Breakup advice', 'Mental health', 'Personal growth', 'Humor', 'Technology', 'Friendship', 'Entertainment']"
YOU0000004146,"['Religious discourse', 'Biblical prophecy interpretation', 'Political commentary', 'Middle Eastern politics', 'International relations', 'History', 'End times prophecy', 'Cultural analysis', 'Social commentary', 'Current events analysis']"
YOU0000005118,"['Education', 'Health and Safety', 'Academic Affairs', 'Housing and Food Service', 'Financial Aid', 'Crisis Support', 'International Students', 'Campus Safety', 'Online Learning', 'Arts and Innovation']"
AUD0000001417,"['Mystery', 'Detective Fiction', 'Humor', 'Satire', 'Social Commentary', 'Psychological Thriller', 'Adventure', 'Philosophical Fiction', 'Absurdist Fiction', 'Literary Fiction']"
YOU0000005160,"['Health and Wellness', 'Environmentalism', 'Medical Research', 'Holistic Medicine', 'Cancer Treatment', 'Nutrition', 'Toxicology', 'History', 'Personal Memoir', 'Philosophy']"
POD0000000856,"['Religion', 'Military', 'Islam', 'Counseling', 'Culture', 'History', 'Politics', 'Race', 'International Relations', 'Music']"
AUD0000000537,"['Animal behavior and psychology', 'Domestic life', 'Humor', 'Nature and environment', 'Relationships', 'Mental health and emotions', 'Travel and exploration', 'Literature and writing', 'Food and drink', 'Fantasy and imagination']"
AUD0000000453,"['Science Fiction', 'Adventure', 'Mystery', 'Thriller', 'Suspense', 'Medical Drama', 'Infection Outbreak', 'Political Drama', 'Survival', 'Alien Encounter']"
POD0000006245,"['Technology', 'Business', 'Sales', 'Marketing', 'Cloud Computing', 'Open Source', 'Data Engineering', 'Software Development', 'Entrepreneurship', 'Product Management']"
YOU0000002914,"['Historical analysis', 'Genocide studies', 'Human rights', 'International relations', 'Political science', 'Social justice', 'Ethnic studies', 'Memory studies', 'Cultural studies', 'Education']"
AUD0000001440,"['Mystery', 'Suspense', 'Psychological Thriller', 'Horror', 'Crime', 'Supernatural', 'Gothic Fiction', 'Ghost Story', 'Courtroom Drama', 'Victorian Literature']"
YOU0000004453,"['Employment and Economic Advancement of People with Disabilities', 'Civil Rights for Individuals with Disabilities', 'Integrated Employment and Day Services', 'Settlement Agreements', 'Systems Change Efforts', 'State and Local Political Leadership', 'Training and Technical Assistance', 'Quality Assurance and Improvement', 'Capacity Building', 'Informed Choice and Financial Planning']"
YOU0000000815,"['Medicine', 'Humanities', 'Technology', 'Education', 'Personal Development', 'Psychology', 'Memoir', 'Social Issues', 'Arts', 'Religion']"
AUD0000000271,"['Nature and Wildlife', 'Science and Technology', 'Agriculture and Farming', 'Animal Behavior', 'Environmentalism', 'Biology', 'Philosophy', 'History', 'Literature', 'Education']"
POD0000005731,"['Mental Health', 'Emotional Abuse', 'Trauma', 'Recovery', 'Self-Harm', 'Sexual Abuse', 'Addiction', 'Family Relationships', 'Gender Identity', 'Friendship']"
POD0000005861,"['Mental Health', 'Abuse', 'Addiction', 'Sexual Fantasies', 'Trauma', 'Relationships', 'Self-Esteem', 'Humor', 'Family', 'Music']"
YOU0000005724,"['Environmentalism', 'Business', 'Sustainability', 'Economics', 'Politics', 'Education', 'Technology', 'Science', 'History', 'Social Issues']"
AUD0000000727,"['Drama', 'Literary Fiction', 'Philosophical Fiction', 'Psychological Fiction', 'Tragicomedy', 'Romantic Drama', 'Social Commentary', 'Existentialism', 'Realism', 'Satire']"
YOU0000004886,"['Graphic Design', 'Art', 'Creativity', 'Self-Discovery', 'Humor', 'Motivation', 'Business', 'Pop Culture', 'Education', 'Personal Growth']"
YOU0000002089,"['Politics', 'Religion', 'Personal Transformation', 'News', 'Entertainment', 'Memoir', 'History', 'Self-Help', 'Mental Health', 'Travel']"
POD0000004079,"['Environmental Science', 'Biology', 'Ecology', 'Conservation', 'Zoology', 'Journalism', 'Pathology', 'Research', 'Media', 'Music']"
POD0000005718,"['Comedy', 'Mental Health', 'Personal Development', 'Trauma', 'Self-Improvement', 'Relationships', 'Addiction', 'Family Dynamics', 'Anxiety', 'Sexual Abuse']"
AUD0000000708,"['Adventure', 'Action', 'Survival', 'Fantasy', 'Science Fiction', 'Thriller', 'Horror', 'Mystery', 'Romance', 'Historical Fiction']"
YOU0000002423,"['Entertainment news', 'Celebrity gossip', 'Sports commentary', 'Relationship advice', 'Fashion', 'Art appreciation', 'Television reviews', 'Current events', 'Comedy', 'Home improvement']"
POD0000001256,"['Civil Rights Movement', 'Nonviolent Resistance', 'Faith and Religion', 'Social Justice', 'Activism', 'Leadership', 'History', 'Patience and Perseverance', 'Love and Kindness', 'Suffering and Redemption']"
AUD0000000444,"['Drama', 'Comedy', 'Romance', 'Satire', 'Betrayal', 'Deception', 'Jealousy', 'Society', 'Intrigue', 'Revenge']"
YOU0000004206,"['Religious history', 'Biblical studies', 'Geopolitics', 'Cultural studies', 'Language studies', 'Translation studies', 'Jewish history', 'Roman history', 'Prophetic studies', 'Christian theology']"
POD0000003001,"['News', 'Immigration', 'Hate Crime', 'Grief and Loss', 'Advocacy', 'Politics', 'Social Justice', 'Community Building', 'Religious Tolerance', 'Multiculturalism']"
YOU0000001513,"['Politics', 'Legal Issues', 'Investigative Journalism', 'Comedy', 'Finance', 'Business', 'Interview', 'Satire', 'Celebrity', 'Entertainment']"
POD0000001200,"['Science and Religion', 'Philosophy of Science', 'Ethics', 'Evolutionary Theory', 'Mathematics', 'Metaphysics', 'Education', 'Mystery and Wonder', 'Cultural Relativism', 'Civil Conversations']"
POD0000003432,"['Identity and self-discovery', 'Asian representation in Hollywood', 'Cross-cultural experiences', 'Trauma and inherited trauma', 'Comedy as a defense mechanism', 'Acting and mask work', 'South Korean society and culture', 'Childhood experiences and family dynamics', 'Systemic oppression and societal norms', 'Generational differences and hope for the future']"
YOU0000000171,"['Slice of life', 'Drama', 'Comedy', 'Romance', 'Satire', 'Tragedy', 'Mystery', 'Adventure', 'Suspense', 'Coming of age']"
YOU0000005414,"['Healthcare and medicine', 'Artificial intelligence and robotics', 'Science fiction', 'Education and teaching', 'Philosophy', 'Psychology', 'Technology and innovation', 'Storytelling and literature', 'Evolution and genetics', 'Language and linguistics']"
YOU0000003182,"['Media landscape and news coverage', 'Politics and political landscape', 'Digital media and online platforms', 'Business and entrepreneurship', 'Culture and societal changes', 'Entertainment and sports', 'Education and public schooling', 'Leadership and company culture', 'Conservatism and liberalism', 'Audience engagement and feedback']"
POD0000006277,"['Software engineering', 'Chaos engineering', 'Incident response', 'Collaboration tools', 'Monitoring and alerting', 'Infrastructure design', 'Self-driving cars', 'Career opportunities', 'Networking issues', 'Regulatory compliance']"
POD0000004838,"['Political news', 'Impeachment inquiry', 'Congressional hearings', 'White House news', 'Polling and public opinion', 'Election analysis', 'Legal issues', 'Media analysis', 'Partisan politics', 'International relations']"
YOU0000005126,"['Government proceedings', 'Environmental concerns', 'Public health', 'Land use and zoning', 'Economic development', 'Cannabis regulation', 'Infrastructure projects', 'Taxation', 'Community development', 'Animal welfare']"
POD0000005468,"['Foreign Policy', 'Nuclear Weapons', 'Middle East Politics', 'International Relations', 'National Security', 'History', 'Military Strategy', 'Terrorism', 'Geopolitics', 'Diplomacy']"
POD0000005980,"['Technology', 'Finance', 'Business', 'Career Development', 'Software Engineering', 'Entrepreneurship', 'Management', 'Data Science', 'Marketing', 'Renewable Energy']"
YOU0000004264,"['Technology tutorial', 'Social media marketing', 'App development', 'Account setup', 'Social media integration', 'Content creation', 'Video marketing', 'Social media management', 'Email authentication', 'Data integration']"
YOU0000000549,"['Chemistry', 'Science Education', 'Atomic Structure', 'Chemical Bonding', 'Stoichiometry', 'Thermodynamics', 'Electrochemistry', 'Materials Science', 'Nanotechnology', 'Analytical Chemistry']"
POD0000000632,"['Spirituality', 'Social Justice', 'Meditation/Mindfulness', 'Race Relations', 'Personal Growth', 'Religion', 'Queer Culture', 'Philosophy', 'Politics', 'Cultural Identity']"
